latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.024,-60.444,310.5,1.2,1.1,2019-04-05,0220,T,80,6.0NRT,291.5,10.9,N
1.034,-60.445,312.6,1.2,1.1,2019-04-05,0220,T,85,6.0NRT,292.6,12.8,N
1.03,-60.61,337.3,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,293.5,50.6,N
1.029,-60.621,315.4,1.2,1.1,2019-04-05,0220,T,91,6.0NRT,292.7,15.9,N
1.04,-60.612,308.3,1.2,1.1,2019-04-05,0220,T,74,6.0NRT,292.3,9,N
1.254,-60.9,327.6,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,277.9,35.2,N
1.252,-60.911,328.7,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,281.4,37.1,N
1.265,-60.89,315.7,1.3,1.1,2019-04-05,0220,T,92,6.0NRT,280.4,17.5,N
1.264,-60.901,338.4,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,278.9,55,N
1.262,-60.913,385.5,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,287.4,249.5,N
1.261,-60.924,356.6,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,286.1,107.9,N
1.277,-60.88,318.9,1.3,1.1,2019-04-05,0220,T,61,6.0NRT,281.4,19.5,N
1.275,-60.891,323.3,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,280.1,25.7,N
1.274,-60.903,338.9,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,280.3,54,N
1.272,-60.914,360.5,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,285.1,120.4,N
1.271,-60.925,334.4,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,283.9,46.2,N
1.292,-60.848,327,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,281,33.5,N
1.287,-60.882,317,1.3,1.1,2019-04-05,0220,T,60,6.0NRT,283,16.7,N
1.285,-60.893,324,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,281,26.6,N
1.284,-60.904,317.7,1.3,1.1,2019-04-05,0220,T,93,6.0NRT,280.4,18.1,N
1.309,-60.943,303.3,1.3,1.1,2019-04-05,0220,T,34,6.0NRT,280.3,6,N
1.343,-60.85,312.2,1.3,1.1,2019-04-05,0220,T,41,6.0NRT,277.5,13.6,N
1.36,-60.875,311.7,1.3,1.1,2019-04-05,0220,T,83,6.0NRT,279.4,13.5,N
1.386,-60.833,315.7,1.3,1.1,2019-04-05,0220,T,92,6.0NRT,285.4,17.3,N
1.384,-60.844,310.2,1.3,1.1,2019-04-05,0220,T,46,6.0NRT,282.5,10.8,N
1.396,-60.835,307.6,1.3,1.1,2019-04-05,0220,T,72,6.0NRT,284.8,9.1,N
1.394,-60.846,304.3,1.3,1.1,2019-04-05,0220,T,50,6.0NRT,283.5,6.1,N
1.386,-60.902,304.6,1.3,1.1,2019-04-05,0220,T,31,6.0NRT,282.8,6.5,N
1.452,-60.941,304,1.3,1.1,2019-04-05,0220,T,58,6.0NRT,285.6,6.8,N
1.539,-60.615,303.2,1.2,1.1,2019-04-05,0220,T,53,6.0NRT,285.8,5,N
1.533,-60.658,304.3,1.2,1.1,2019-04-05,0220,T,50,6.0NRT,287,5.1,N
